% Model:              Maglev electromagnet small scale.mph
% Version:            COMSOL 6.2.0.415
% Date:               Mar 10 2025, 13:17
% Dimension:          1
% Nodes:              929
% Expressions:        1
% Description:        Line graph
% Arc length (mm)         Magnetic flux density, y-component
84.7422241345603          3.347294573625773E-5
85.57415307938352         -1.0915579497432297E-5
86.02674818014032         -3.506431139997311E-5
86.10730904488258         -3.9362728950760776E-5
87.45837503012126         -1.1145040777387776E-4
87.46194267242984         -1.11640763430601E-4
87.47215193045474         -1.1218549012904577E-4
87.4723939552049          -1.1219840363782095E-4
87.47650736538853         2.0041652968429661E-4
88.26863786380937         -8.179575944978335E-5
88.34539850252513         -9.612481450406166E-4
89.24473167498827         -4.964482616217791E-4
89.92961145823024         9.71677034237106E-5
90.42618967115092         9.357158724310221E-5
91.09966057403015         8.869445097758229E-5
91.4889005413342          8.587565605632041E-5
92.95458947307198         7.526144152759402E-5
93.04818962443817         7.458360869077803E-5
93.11605525141658         7.409213992932909E-5
93.54186363698355         7.100852412573243E-5
94.60747870754216         6.329156132390768E-5
94.8095183721138          6.182843207674957E-5
95.80592083168219         5.461269261474168E-5
96.16676779064613         4.364762251306868E-5
96.34370090519306         2.2767586905558235E-5
97.33351896443453         -4.731869046158816E-5
97.49983258972414         -5.909489798085221E-5
97.66261542838993         -7.062110027105058E-5
98.68104096121179         -5.289890266767253E-4
98.8215916204874          -9.173817341505338E-4
99.05981823375862         -9.210032946911669E-4
100.05540924243843        -9.361384345559969E-4
100.64279522218838        -9.450679737762867E-4
100.72235783361343        -4.93650074943272E-4
